TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
11-01-2018 05:00,0.73028,9.3720,541.582,8.824,5.331,127.945
11-01-2018 06:00,0.73028,9.1330,557.886,8.958,5.343,128.224
11-01-2018 07:00,0.73028,11.6988,556.240,8.909,6.021,144.502
11-01-2018 08:00,0.73028,12.8424,534.085,8.753,6.183,148.394
11-01-2018 09:00,0.73028,13.7521,510.016,8.679,6.248,149.941
11-01-2018 10:00,0.73028,14.0677,500.929,8.665,6.260,150.238
11-01-2018 11:00,0.73028,13.8869,509.039,8.834,6.270,150.478
11-01-2018 12:00,0.72385,13.1104,533.215,9.063,6.265,150.370
11-01-2018 13:00,0.72172,12.4909,555.571,9.312,6.255,150.118
11-01-2018 14:00,0.72172,12.1850,566.948,9.739,6.239,149.727
11-01-2018 15:00,0.72172,11.4458,589.516,10.071,6.167,148.010
11-01-2018 16:00,0.72172,10.9842,603.886,9.846,6.121,146.897
11-01-2018 17:00,0.72172,11.3306,584.990,9.513,6.118,146.827
11-01-2018 18:00,0.72172,13.1910,548.439,9.229,6.384,153.214
11-01-2018 19:00,0.72172,13.6042,538.464,9.118,6.423,154.143
11-01-2018 20:00,0.72172,13.3650,549.798,9.241,6.434,154.409
11-01-2018 21:00,0.72172,13.5347,553.803,9.217,6.498,155.962
11-01-2018 22:00,0.72172,13.6234,538.931,9.118,6.429,154.304
11-01-2018 23:00,0.72172,13.4382,532.204,9.188,6.344,152.264
12-01-2018 00:00,0.72172,8.7601,552.782,9.067,5.237,125.686
12-01-2018 01:00,0.72172,8.3887,564.336,9.033,5.182,124.361
12-01-2018 02:00,0.72172,7.8758,576.188,8.964,5.077,121.839
12-01-2018 03:00,0.72172,7.5568,591.345,8.985,5.040,120.951
12-01-2018 04:00,0.72172,7.5929,584.098,8.731,5.022,120.528
12-01-2018 05:00,0.72172,8.0290,557.617,8.523,5.044,121.055
12-01-2018 06:00,0.72172,8.1492,555.114,8.592,5.069,121.665
12-01-2018 07:00,0.72172,8.6755,560.714,8.754,5.254,126.090
12-01-2018 08:00,0.72172,10.8279,557.343,9.112,5.836,140.068
12-01-2018 09:00,0.72172,11.6512,536.229,9.033,5.938,142.510
12-01-2018 10:00,0.72172,11.9386,518.390,9.169,5.906,141.733
12-01-2018 11:00,0.72172,11.3904,544.951,9.433,5.915,141.968
12-01-2018 12:00,0.72794,9.5797,568.668,10.058,5.435,130.447
12-01-2018 13:00,0.72846,9.4291,585.619,10.574,5.537,132.884
12-01-2018 14:00,0.72846,9.1828,602.836,10.245,5.544,133.045
12-01-2018 15:00,0.72846,9.0714,595.959,9.741,5.506,132.153
12-01-2018 16:00,0.72846,9.0406,601.146,9.441,5.525,132.591
12-01-2018 17:00,0.72846,9.4593,590.560,9.063,5.602,134.444
12-01-2018 18:00,0.72846,11.1656,577.693,8.793,6.005,144.131
12-01-2018 19:00,0.72846,13.5553,526.858,8.700,6.314,151.526
12-01-2018 20:00,0.72846,14.0668,504.715,8.861,6.290,150.955
12-01-2018 21:00,0.72846,13.5272,521.880,8.990,6.275,150.599
12-01-2018 22:00,0.72846,13.0275,535.551,8.908,6.243,149.839
